Location,Offense_Category,Volume
Gambling Facility/Casino/Race Track,Prostitution,268
Gambling Facility/Casino/Race Track,Weapon Law Violations,176
Government/Public Building,Assault,12244
Government/Public Building,Homicide,14
Government/Public Building,Human Trafficking,19
Government/Public Building,Kidnapping_Abduction,250
Government/Public Building,Sex,1144
Government/Public Building,Arson,250
Government/Public Building,Bribery,36
Government/Public Building,Burglary/Breaking & Entering,2355
Government/Public Building,Counterfeiting/Forgery,1786
Government/Public Building,Destruction/Damage/Vandalism ,9532
Government/Public Building,Embezzlement,220
Government/Public Building,Extortion/Blackmail,100
Government/Public Building,Fraud,12400
Government/Public Building,Larceny/Theft,10401
Government/Public Building,Motor Vehicle Theft,743
Government/Public Building,Robbery,183
Government/Public Building,Stolen Property,373
Government/Public Building,Animal Cruelty,55
Government/Public Building,Drug/Narcotic,8087
Government/Public Building,Gambling,47
Government/Public Building,Pornography/Obscene Material,1024
Government/Public Building,Prostitution,37
Government/Public Building,Weapon Law Violations,743
Grocery/Supermarket,Assault,11755
Grocery/Supermarket,Homicide,27
Grocery/Supermarket,Human Trafficking,0
Grocery/Supermarket,Kidnapping_Abduction,129
Grocery/Supermarket,Sex,300
Grocery/Supermarket,Arson,97
Grocery/Supermarket,Bribery,4
Grocery/Supermarket,Burglary/Breaking & Entering,3338
Grocery/Supermarket,Counterfeiting/Forgery,5465
Grocery/Supermarket,Destruction/Damage/Vandalism ,5378
Grocery/Supermarket,Embezzlement,1185
Grocery/Supermarket,Extortion/Blackmail,18
Grocery/Supermarket,Fraud,14613
Grocery/Supermarket,Larceny/Theft,132536
Grocery/Supermarket,Motor Vehicle Theft,1544
Grocery/Supermarket,Robbery,2414
Grocery/Supermarket,Stolen Property,940
Grocery/Supermarket,Animal Cruelty,67
Grocery/Supermarket,Drug/Narcotic,9510
Grocery/Supermarket,Gambling,7
Grocery/Supermarket,Pornography/Obscene Material,49
Grocery/Supermarket,Prostitution,19
Grocery/Supermarket,Weapon Law Violations,738
Highway/Road/Alley/Street/Sidewalk,Assault,240164
Highway/Road/Alley/Street/Sidewalk,Homicide,3288
Highway/Road/Alley/Street/Sidewalk,Human Trafficking,158
Highway/Road/Alley/Street/Sidewalk,Kidnapping_Abduction,3930
Highway/Road/Alley/Street/Sidewalk,Sex,4952
Highway/Road/Alley/Street/Sidewalk,Arson,2895
Highway/Road/Alley/Street/Sidewalk,Bribery,158
Highway/Road/Alley/Street/Sidewalk,Burglary/Breaking & Entering,2758
Highway/Road/Alley/Street/Sidewalk,Counterfeiting/Forgery,5687
Highway/Road/Alley/Street/Sidewalk,Destruction/Damage/Vandalism ,124915
Highway/Road/Alley/Street/Sidewalk,Embezzlement,313
Highway/Road/Alley/Street/Sidewalk,Extortion/Blackmail,113
Highway/Road/Alley/Street/Sidewalk,Fraud,18451
Highway/Road/Alley/Street/Sidewalk,Larceny/Theft,164377
Highway/Road/Alley/Street/Sidewalk,Motor Vehicle Theft,74375
Highway/Road/Alley/Street/Sidewalk,Robbery,25953
Highway/Road/Alley/Street/Sidewalk,Stolen Property,31501
Highway/Road/Alley/Street/Sidewalk,Animal Cruelty,900
Highway/Road/Alley/Street/Sidewalk,Drug/Narcotic,569424
Highway/Road/Alley/Street/Sidewalk,Gambling,97
Highway/Road/Alley/Street/Sidewalk,Pornography/Obscene Material,241
Highway/Road/Alley/Street/Sidewalk,Prostitution,2307
Highway/Road/Alley/Street/Sidewalk,Weapon Law Violations,89891
Hotel/Motel/Etc.,Assault,45140
Hotel/Motel/Etc.,Homicide,232
Hotel/Motel/Etc.,Human Trafficking,336
Hotel/Motel/Etc.,Kidnapping_Abduction,1301
Hotel/Motel/Etc.,Sex,4962
Hotel/Motel/Etc.,Arson,257
Hotel/Motel/Etc.,Bribery,18
Hotel/Motel/Etc.,Burglary/Breaking & Entering,5191
Hotel/Motel/Etc.,Counterfeiting/Forgery,1304
Hotel/Motel/Etc.,Destruction/Damage/Vandalism ,16198
Hotel/Motel/Etc.,Embezzlement,394
Hotel/Motel/Etc.,Extortion/Blackmail,72
Hotel/Motel/Etc.,Fraud,6859
Hotel/Motel/Etc.,Larceny/Theft,40009
Hotel/Motel/Etc.,Motor Vehicle Theft,8265
Hotel/Motel/Etc.,Robbery,3022
Hotel/Motel/Etc.,Stolen Property,2183
Hotel/Motel/Etc.,Animal Cruelty,101
Hotel/Motel/Etc.,Drug/Narcotic,30474
Hotel/Motel/Etc.,Gambling,1
Hotel/Motel/Etc.,Pornography/Obscene Material,179
Hotel/Motel/Etc.,Prostitution,2179
Hotel/Motel/Etc.,Weapon Law Violations,3423
Industrial Site,Assault,1437
Industrial Site,Homicide,5
Industrial Site,Human Trafficking,0
Industrial Site,Kidnapping_Abduction,9
Industrial Site,Sex,55
Industrial Site,Arson,46
Industrial Site,Bribery,1
Industrial Site,Burglary/Breaking & Entering,2033
Industrial Site,Counterfeiting/Forgery,73
Industrial Site,Destruction/Damage/Vandalism ,2410
Industrial Site,Embezzlement,146
Industrial Site,Extortion/Blackmail,3
Industrial Site,Fraud,362
Industrial Site,Larceny/Theft,5089
Industrial Site,Motor Vehicle Theft,850
Industrial Site,Robbery,26
Industrial Site,Stolen Property,86
Industrial Site,Animal Cruelty,2
Industrial Site,Drug/Narcotic,444
Industrial Site,Gambling,3
Industrial Site,Pornography/Obscene Material,3
Industrial Site,Prostitution,3
Industrial Site,Weapon Law Violations,62
Jail/Prison/Penit/Corr Facility,Assault,20057
Jail/Prison/Penit/Corr Facility,Homicide,27
Jail/Prison/Penit/Corr Facility,Human Trafficking,4
