State,Offense_Category,Offense_Type,Volume
Montana,Human Trafficking,Person,4
Montana,Kidnapping_Abduction,Person,272
Montana,Sex,Person,1448
Montana,Arson,Property,156
Montana,Bribery,Property,2
Montana,Burglary/Breaking & Entering,Property,2696
Montana,Counterfeiting/Forgery,Property,1014
Montana,Destruction/Damage/Vandalism ,Property,8163
Montana,Embezzlement,Property,72
Montana,Extortion/Blackmail,Property,7
Montana,Fraud,Property,2525
Montana,Larceny/Theft,Property,18039
Montana,Motor Vehicle Theft,Property,2521
Montana,Robbery,Property,272
Montana,Stolen Property,Property,276
Montana,Animal Cruelty,Society,100
Montana,Drug/Narcotic,Society,7211
Montana,Gambling,Society,0
Montana,Pornography/Obscene Material,Society,16
Montana,Prostitution,Society,23
Montana,Weapon Law Violations,Society,208
Nebraska,Assault,Person,8192
Nebraska,Homicide,Person,25
Nebraska,Human Trafficking,Person,1
Nebraska,Kidnapping_Abduction,Person,138
Nebraska,Sex,Person,891
Nebraska,Arson,Property,90
Nebraska,Bribery,Property,8
Nebraska,Burglary/Breaking & Entering,Property,1376
Nebraska,Counterfeiting/Forgery,Property,611
Nebraska,Destruction/Damage/Vandalism ,Property,5662
Nebraska,Embezzlement,Property,81
Nebraska,Extortion/Blackmail,Property,90
Nebraska,Fraud,Property,2335
Nebraska,Larceny/Theft,Property,8108
Nebraska,Motor Vehicle Theft,Property,1110
Nebraska,Robbery,Property,109
Nebraska,Stolen Property,Property,341
Nebraska,Animal Cruelty,Society,53
Nebraska,Drug/Narcotic,Society,7680
Nebraska,Gambling,Society,0
Nebraska,Pornography/Obscene Material,Society,184
Nebraska,Prostitution,Society,22
Nebraska,Weapon Law Violations,Society,694
Nevada,Assault,Person,23483
Nevada,Homicide,Person,93
Nevada,Human Trafficking,Person,111
Nevada,Kidnapping_Abduction,Person,419
Nevada,Sex,Person,1561
Nevada,Arson,Property,154
Nevada,Bribery,Property,7
Nevada,Burglary/Breaking & Entering,Property,4866
Nevada,Counterfeiting/Forgery,Property,669
Nevada,Destruction/Damage/Vandalism ,Property,8551
Nevada,Embezzlement,Property,490
Nevada,Extortion/Blackmail,Property,115
Nevada,Fraud,Property,6930
Nevada,Larceny/Theft,Property,17125
Nevada,Motor Vehicle Theft,Property,4648
Nevada,Robbery,Property,1041
Nevada,Stolen Property,Property,1131
Nevada,Animal Cruelty,Society,44
Nevada,Drug/Narcotic,Society,8506
Nevada,Gambling,Society,20
Nevada,Pornography/Obscene Material,Society,86
Nevada,Prostitution,Society,590
Nevada,Weapon Law Violations,Society,2470
New Hampshire,Assault,Person,13096
New Hampshire,Homicide,Person,24
New Hampshire,Human Trafficking,Person,7
New Hampshire,Kidnapping_Abduction,Person,253
New Hampshire,Sex,Person,1533
New Hampshire,Arson,Property,145
New Hampshire,Bribery,Property,3
New Hampshire,Burglary/Breaking & Entering,Property,1314
New Hampshire,Counterfeiting/Forgery,Property,689
New Hampshire,Destruction/Damage/Vandalism ,Property,7847
New Hampshire,Embezzlement,Property,111
New Hampshire,Extortion/Blackmail,Property,122
New Hampshire,Fraud,Property,5472
New Hampshire,Larceny/Theft,Property,12208
New Hampshire,Motor Vehicle Theft,Property,904
New Hampshire,Robbery,Property,260
New Hampshire,Stolen Property,Property,710
New Hampshire,Animal Cruelty,Society,188
New Hampshire,Drug/Narcotic,Society,6183
New Hampshire,Gambling,Society,4
New Hampshire,Pornography/Obscene Material,Society,700
New Hampshire,Prostitution,Society,68
New Hampshire,Weapon Law Violations,Society,461
New Mexico,Assault,Person,23577
New Mexico,Homicide,Person,126
New Mexico,Human Trafficking,Person,4
New Mexico,Kidnapping_Abduction,Person,853
New Mexico,Sex,Person,1398
New Mexico,Arson,Property,234
New Mexico,Bribery,Property,44
New Mexico,Burglary/Breaking & Entering,Property,7221
New Mexico,Counterfeiting/Forgery,Property,705
New Mexico,Destruction/Damage/Vandalism ,Property,15032
New Mexico,Embezzlement,Property,406
New Mexico,Extortion/Blackmail,Property,110
New Mexico,Fraud,Property,5355
New Mexico,Larceny/Theft,Property,26734
New Mexico,Motor Vehicle Theft,Property,6779
New Mexico,Robbery,Property,1677
New Mexico,Stolen Property,Property,908
New Mexico,Animal Cruelty,Society,62
New Mexico,Drug/Narcotic,Society,5918
New Mexico,Gambling,Society,1
New Mexico,Pornography/Obscene Material,Society,157
New Mexico,Prostitution,Society,59
New Mexico,Weapon Law Violations,Society,1696
New York,Assault,Person,11135
New York,Homicide,Person,22
New York,Human Trafficking,Person,0
New York,Kidnapping_Abduction,Person,193
New York,Sex,Person,522
New York,Arson,Property,111
New York,Bribery,Property,1
New York,Burglary/Breaking & Entering,Property,2195
New York,Counterfeiting/Forgery,Property,622
New York,Destruction/Damage/Vandalism ,Property,8007
New York,Embezzlement,Property,8
New York,Extortion/Blackmail,Property,45
New York,Fraud,Property,2260
New York,Larceny/Theft,Property,17010
New York,Motor Vehicle Theft,Property,1289
New York,Robbery,Property,551
New York,Stolen Property,Property,536
New York,Animal Cruelty,Society,0
New York,Drug/Narcotic,Society,2548
New York,Gambling,Society,0
New York,Pornography/Obscene Material,Society,51
New York,Prostitution,Society,27
New York,Weapon Law Violations,Society,498
North Carolina,Assault,Person,120176
North Carolina,Homicide,Person,809
North Carolina,Human Trafficking,Person,56
North Carolina,Kidnapping_Abduction,Person,1900
North Carolina,Sex,Person,5518
North Carolina,Arson,Property,1405
North Carolina,Bribery,Property,11
North Carolina,Burglary/Breaking & Entering,Property,40035
North Carolina,Counterfeiting/Forgery,Property,5115
North Carolina,Destruction/Damage/Vandalism ,Property,57978
North Carolina,Embezzlement,Property,1782
North Carolina,Extortion/Blackmail,Property,626
North Carolina,Fraud,Property,38413
North Carolina,Larceny/Theft,Property,157274
North Carolina,Motor Vehicle Theft,Property,17618
North Carolina,Robbery,Property,6591
North Carolina,Stolen Property,Property,5288
North Carolina,Animal Cruelty,Society,481
North Carolina,Drug/Narcotic,Society,84595
North Carolina,Gambling,Society,95
North Carolina,Pornography/Obscene Material,Society,1551
North Carolina,Prostitution,Society,311
North Carolina,Weapon Law Violations,Society,13086
North Dakota,Assault,Person,9620
North Dakota,Homicide,Person,34
North Dakota,Human Trafficking,Person,11
North Dakota,Kidnapping_Abduction,Person,135
North Dakota,Sex,Person,969
North Dakota,Arson,Property,87
North Dakota,Bribery,Property,0
North Dakota,Burglary/Breaking & Entering,Property,2823
North Dakota,Counterfeiting/Forgery,Property,712
North Dakota,Destruction/Damage/Vandalism ,Property,4522
North Dakota,Embezzlement,Property,114
North Dakota,Extortion/Blackmail,Property,45
North Dakota,Fraud,Property,3620
North Dakota,Larceny/Theft,Property,11018
North Dakota,Motor Vehicle Theft,Property,1820
North Dakota,Robbery,Property,144
North Dakota,Stolen Property,Property,650
North Dakota,Animal Cruelty,Society,88
North Dakota,Drug/Narcotic,Society,12035
North Dakota,Gambling,Society,6
North Dakota,Pornography/Obscene Material,Society,192
North Dakota,Prostitution,Society,34
North Dakota,Weapon Law Violations,Society,638
Ohio,Assault,Person,139203
Ohio,Homicide,Person,747
Ohio,Human Trafficking,Person,16
Ohio,Kidnapping_Abduction,Person,1908
Ohio,Sex,Person,7081
Ohio,Arson,Property,875
Ohio,Bribery,Property,9
Ohio,Burglary/Breaking & Entering,Property,30290
Ohio,Counterfeiting/Forgery,Property,2351
